Mun;POSTO DE SAUDE;CENTRO DE SAUDE/UNIDADE BASICA;POLICLINICA;HOSPITAL GERAL;HOSPITAL ESPECIALIZADO;PRONTO SOCORRO GERAL;PRONTO SOCORRO ESPECIALIZADO;Total
150530 Oriximiná;12.0;9.0;3.0;2.0;1.0;0.0;0.0;27.0
150540 Ourém;0.0;8.0;0.0;1.0;0.0;0.0;0.0;9.0
150543 Ourilândia do Norte;1.0;10.0;1.0;2.0;0.0;0.0;0.0;14.0
150548 Pacajá;1.0;12.0;0.0;2.0;0.0;0.0;0.0;15.0
150549 Palestina do Pará;3.0;2.0;0.0;1.0;0.0;0.0;0.0;6.0
150550 Paragominas;6.0;24.0;2.0;6.0;0.0;0.0;0.0;38.0
150553 Parauapebas;2.0;26.0;6.0;6.0;3.0;0.0;1.0;44.0
150555 Pau D'Arco;0.0;4.0;2.0;1.0;0.0;0.0;0.0;7.0
150560 Peixe-Boi;0.0;4.0;0.0;0.0;0.0;0.0;0.0;4.0
150563 Piçarra;9.0;0.0;0.0;0.0;0.0;0.0;0.0;9.0
150565 Placas;6.0;0.0;0.0;1.0;0.0;0.0;0.0;7.0
150570 Ponta de Pedras;4.0;2.0;0.0;0.0;0.0;0.0;0.0;6.0
150580 Portel;12.0;10.0;0.0;1.0;0.0;0.0;0.0;23.0
150590 Porto de Moz;10.0;8.0;0.0;1.0;0.0;0.0;0.0;19.0
150600 Prainha;8.0;7.0;0.0;0.0;0.0;0.0;0.0;15.0
150610 Primavera;0.0;5.0;0.0;0.0;0.0;0.0;0.0;5.0
150611 Quatipuru;3.0;2.0;0.0;0.0;0.0;0.0;0.0;5.0
150613 Redenção;5.0;14.0;2.0;6.0;1.0;0.0;0.0;28.0
150616 Rio Maria;0.0;6.0;0.0;2.0;0.0;0.0;0.0;8.0
150618 Rondon do Pará;2.0;15.0;0.0;3.0;0.0;0.0;0.0;20.0
150619 Rurópolis;0.0;10.0;0.0;1.0;0.0;0.0;0.0;11.0
150620 Salinópolis;3.0;16.0;0.0;2.0;0.0;0.0;0.0;21.0
150630 Salvaterra;13.0;0.0;0.0;1.0;0.0;0.0;0.0;14.0
150635 Santa Bárbara do Pará;7.0;6.0;0.0;0.0;0.0;0.0;0.0;13.0
150640 Santa Cruz do Arari;3.0;1.0;0.0;0.0;0.0;0.0;0.0;4.0
150650 Santa Izabel do Pará;7.0;27.0;1.0;1.0;0.0;0.0;0.0;36.0
150655 Santa Luzia do Pará;12.0;0.0;0.0;1.0;0.0;0.0;0.0;13.0
150658 Santa Maria das Barreiras;2.0;8.0;0.0;2.0;0.0;0.0;0.0;12.0
150660 Santa Maria do Pará;0.0;9.0;0.0;1.0;0.0;0.0;0.0;10.0
150670 Santana do Araguaia;0.0;13.0;0.0;1.0;1.0;0.0;0.0;15.0
150680 Santarém;4.0;70.0;4.0;6.0;1.0;0.0;1.0;86.0
150690 Santarém Novo;1.0;5.0;0.0;0.0;0.0;0.0;0.0;6.0
150700 Santo Antônio do Tauá;3.0;12.0;0.0;1.0;0.0;0.0;0.0;16.0
150710 São Caetano de Odivelas;2.0;9.0;0.0;0.0;0.0;0.0;0.0;11.0
150715 São Domingos do Araguaia;1.0;8.0;0.0;1.0;0.0;0.0;0.0;10.0
150720 São Domingos do Capim;1.0;15.0;0.0;1.0;0.0;0.0;0.0;17.0
150730 São Félix do Xingu;9.0;17.0;5.0;4.0;0.0;0.0;0.0;35.0
150740 São Francisco do Pará;2.0;9.0;0.0;0.0;0.0;0.0;0.0;11.0
150745 São Geraldo do Araguaia;2.0;9.0;0.0;1.0;0.0;0.0;0.0;12.0
150746 São João da Ponta;0.0;5.0;0.0;0.0;0.0;0.0;0.0;5.0
150747 São João de Pirabas;0.0;10.0;0.0;1.0;0.0;0.0;0.0;11.0
150750 São João do Araguaia;10.0;0.0;0.0;1.0;0.0;0.0;0.0;11.0
150760 São Miguel do Guamá;15.0;10.0;0.0;1.0;0.0;0.0;0.0;26.0
150770 São Sebastião da Boa Vista;5.0;8.0;0.0;1.0;0.0;0.0;0.0;14.0
150775 Sapucaia;1.0;2.0;0.0;1.0;0.0;0.0;0.0;4.0
150780 Senador José Porfírio;5.0;5.0;0.0;0.0;0.0;0.0;0.0;10.0
150790 Soure;8.0;1.0;0.0;1.0;0.0;0.0;0.0;10.0
150795 Tailândia;9.0;1.0;0.0;1.0;0.0;0.0;0.0;11.0
150796 Terra Alta;0.0;6.0;0.0;0.0;0.0;0.0;0.0;6.0
150797 Terra Santa;7.0;0.0;4.0;1.0;0.0;0.0;0.0;12.0
150800 Tomé-Açu;6.0;8.0;0.0;3.0;0.0;0.0;0.0;17.0
150803 Tracuateua;5.0;14.0;0.0;0.0;0.0;0.0;0.0;19.0
150805 Trairão;2.0;7.0;0.0;1.0;0.0;0.0;0.0;10.0
150808 Tucumã;8.0;10.0;0.0;2.0;0.0;0.0;0.0;20.0
150810 Tucuruí;8.0;23.0;7.0;5.0;0.0;0.0;0.0;43.0
150812 Ulianópolis;7.0;9.0;0.0;2.0;0.0;0.0;0.0;18.0
150815 Uruará;5.0;7.0;1.0;1.0;0.0;0.0;0.0;14.0
150820 Vigia;10.0;10.0;2.0;1.0;0.0;0.0;0.0;23.0
150830 Viseu;10.0;14.0;0.0;1.0;0.0;0.0;0.0;25.0
150835 Vitória do Xingu;1.0;9.0;0.0;1.0;0.0;0.0;0.0;11.0
150840 Xinguara;0.0;12.0;0.0;3.0;0.0;0.0;0.0;15.0
160010 Amapá;6.0;2.0;1.0;0.0;0.0;0.0;0.0;9.0
160020 Calçoene;1.0;6.0;0.0;0.0;0.0;0.0;0.0;7.0
160021 Cutias;2.0;3.0;0.0;0.0;0.0;0.0;0.0;5.0
160023 Ferreira Gomes;0.0;6.0;0.0;0.0;0.0;0.0;0.0;6.0
160025 Itaubal;6.0;4.0;0.0;0.0;0.0;0.0;0.0;10.0
160027 Laranjal do Jari;4.0;9.0;0.0;1.0;0.0;0.0;0.0;14.0
160030 Macapá;15.0;37.0;10.0;5.0;2.0;0.0;0.0;69.0
160040 Mazagão;11.0;7.0;0.0;0.0;0.0;0.0;0.0;18.0
160050 Oiapoque;3.0;6.0;0.0;1.0;0.0;0.0;0.0;10.0
160015 Pedra Branca do Amapari;0.0;10.0;0.0;1.0;0.0;0.0;0.0;11.0
160053 Porto Grande;5.0;7.0;0.0;1.0;0.0;0.0;0.0;13.0
160055 Pracuúba;3.0;2.0;0.0;0.0;0.0;0.0;0.0;5.0
160060 Santana;3.0;14.0;1.0;3.0;0.0;0.0;0.0;21.0
160005 Serra do Navio;0.0;6.0;0.0;1.0;0.0;0.0;0.0;7.0
160070 Tartarugalzinho;13.0;4.0;0.0;0.0;0.0;0.0;0.0;17.0
160080 Vitória do Jari;2.0;6.0;0.0;0.0;0.0;0.0;0.0;8.0
170025 Abreulândia;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0
170030 Aguiarnópolis;0.0;2.0;0.0;0.0;0.0;0.0;0.0;2.0
